Num	Loc	Z 3.5	Z 4.4144	Z 5.3288	Z 6.2432	Z 7.1576	Z 8.072	Z 8.9864	Z 9.9008	Z 10.8152	Z 11.7296	Z 12.644
116	272.6044	914.3997	914.39	914.3174	914.183	914.0532	913.9601	913.9428	913.9473	913.9309	913.9479	913.9739
117	273.5188	914.3925	914.3566	914.2678	914.1494	914.0233	913.9688	913.9305	913.9014	913.9192	913.9437	913.9507
118	274.4332	914.3967	914.386	914.2767	914.1733	914.0244	913.9876	913.9164	913.9293	913.9243	913.9409	913.9578
119	275.3476	914.4014	914.4066	914.2706	914.1711	914.0436	913.9977	913.9884	913.9604	913.9575	913.9979	914.0057
120	276.262	914.4062	914.3983	914.2808	914.1292	914.0671	914.0182	913.9706	913.9387	913.9315	913.9727	913.9799
121	277.1764	914.4041	914.4017	914.2832	914.1566	914.0563	914.0148	913.9414	913.937	913.9053	913.9493	913.9775
122	278.0908	914.4028	914.3911	914.2632	914.1341	914.0491	914.0184	913.9594	913.8955	913.8642	913.9158	913.9802
123	279.0052	914.4048	914.3911	914.2548	914.1506	914.0598	914.0086	913.9507	913.9232	913.8636	913.9308	913.9263
124	279.9196	914.4094	914.3696	914.2626	914.1161	914.0281	914.0035	913.9628	913.9165	913.8448	913.9369	913.9661
125	280.834	914.3978	914.3443	914.2497	914.1017	914.002	914.001	913.9186	913.9079	913.8439	913.9046	913.9412
126	281.7484	914.3975	914.3636	914.2861	914.1099	914.0339	913.9729	913.9319	913.8872	913.8727	913.9065	913.9472
127	282.6628	914.4019	914.3769	914.2849	914.0961	914.0372	914.0123	913.9547	913.9157	913.8992	913.9478	913.9592
128	283.5772	914.4076	914.3884	914.2751	914.0986	914.0818	914.0294	913.9705	913.9615	913.9581	913.9635	913.9947
129	284.4916	914.3819	914.3467	914.2631	914.1102	914.033	913.9987	913.9407	913.9159	913.9089	913.9442	913.9845
130	285.406	914.3817	914.3527	914.2677	914.0984	913.9919	913.9384	913.9075	913.8868	913.9063	913.9272	913.9675
131	286.3204	914.3791	914.3585	914.2371	914.0881	914.0153	913.9639	913.9055	913.897	913.9099	913.9465	913.9749
132	287.2348	914.3885	914.3777	914.2386	914.0939	914.0521	914.0221	913.9476	913.9462	913.9648	913.9916	914.0294
133	288.1492	914.3942	914.3728	914.2484	914.1046	914.0587	914.0191	913.9878	913.9311	913.9738	913.999	914.0908
134	289.0636	914.3843	914.3629	914.2675	914.1116	914.0418	913.9993	913.9733	913.927	913.9645	913.9651	914.0054
135	289.978	914.382	914.3628	914.2797	914.1355	914.0115	914.0007	913.966	913.9556	913.9884	913.9883	914.0165
136	290.8924	914.3749	914.3767	914.2723	914.0936	914.0309	913.9808	913.9293	913.9559	913.9769	913.9928	914.0229
137	291.8068	914.3462	914.3147	914.2119	914.0222	913.9705	913.9473	913.9058	913.9005	913.9064	913.9217	913.957
138	292.7212	914.3583	914.3312	914.2151	914.0532	913.9858	913.9602	913.9265	913.9406	913.9489	913.9586	913.947
139	293.6356	914.3658	914.3162	914.2311	914.0584	914.0193	913.9846	913.9587	913.9688	913.9901	914.0027	913.994
140	294.55	914.3712	914.3036	914.2145	914.0867	914.0334	914.008	913.9594	913.9781	914.0058	914.0228	914.0101
141	295.4644	914.3683	914.3221	914.2382	914.0518	913.9905	913.991	913.9484	913.9577	913.9748	913.9831	913.9832
142	296.3788	914.3638	914.3207	914.2131	914.0791	914.015	913.9744	913.9467	913.9323	913.9797	913.9644	913.9863
143	297.2932	914.3638	914.3076	914.1985	914.0558	914.0175	913.9644	913.946	913.9535	913.9468	913.9773	913.948
144	298.2076	914.3612	914.2875	914.1784	914.0824	913.9882	913.9594	913.9481	913.9545	913.9627	913.9438	913.9905
145	299.122	914.359	914.299	914.1478	914.0648	913.9659	913.988	913.9622	913.9354	913.9669	913.9222	913.9498
146	300.0364	914.3655	914.2866	914.1463	914.0792	914.0164	913.9589	913.9401	913.9374	913.9585	913.9717	913.9554
